"userid","user_display_name","user_screen_name","user_reported_location","user_profile_description","user_profile_url","follower_count","following_count","account_creation_date","account_language"
"32451317","George Kissi","kissillc","Dublin, OH","Certified Medicare & Retirement Income Planner #Life | #Health | #Medicare | #Retirement | #Obamacare instagram: @georgekissi","https://t.co/E2RReZi2Ql","15351","17769","2009-04-17","en"
"3n0xdqzYtFlDcc3AfvuOPP2jSfmlhy7ASmQaywDOI=","3n0xdqzYtFlDcc3AfvuOPP2jSfmlhy7ASmQaywDOI=","3n0xdqzYtFlDcc3AfvuOPP2jSfmlhy7ASmQaywDOI=","vivo en Aldaia, Valencia","Podria tener 11 años y vosotros no saberlo.
contacto: tigre112.es@gmail.com","https://t.co/n88tH3SKmF","620","268","2015-01-21","es"
"1455277165","Allure Shakespeare","panakosubenko","","a","","30631","0","2013-05-24","zh-cn"
"38667747","[+18] Daily Sex Tweets","TheSexxxTweets","USA","DM for RTs/Promo 💵 and content removal","https://t.co/JigKGSMtCX","122726","926","2009-05-08","en"
"141413774","Link™","TheLinkRegions","","A world-class brand in gaming entertainment. #LinkWithUs @KILLFEEDlNG","","6600","173","2010-05-08","en"
"14098159","💋22k","acct21k","","14 differents kids from 14 differents countries CE4B4B479BA12A407C62C2BC","","23635","374","2008-03-08","en"
"60480241","A V I","avitravul","","make up artist & youtuber. subscribe to my YouTube channel ⤵️
https://t.co/oEMy4GYw6C…","https://t.co/IBZvXYOPW3","6281","660","2009-07-27","en"
"11448652","Chris Banks","SithFishing","Maryland, USA","Owner of @OutColdGaming and Outdoorsman! Always looking for that next rush of adrenaline!","","46915","8620","2007-12-23","en"
"37281269","يوسف زيد الخالدي","yaldulaim95","Tampa, FL","UT’19 不","https://t.co/QFMejarfWu","11173","2316","2009-05-02","en"
"16968806","Robbie Mac","RobertPJMac","GA USA","","","31031","25370","2008-10-25","en"
"231521520","Vicki","beertastx","Chicago, Illinois","","","10806","4019","2010-12-28","en"
"1455281432","Ashley Williams","norimonobuni","Fresno, California","i love that accent you have when you say hello","","18794","0","2013-05-24","zh-cn"
"qeh2Id9xYHtcZltOLGUxbAOZJSjIdAg50+4kEtWAO4=","qeh2Id9xYHtcZltOLGUxbAOZJSjIdAg50+4kEtWAO4=","qeh2Id9xYHtcZltOLGUxbAOZJSjIdAg50+4kEtWAO4=","South Lake Tahoe, Ca","","","3385","4348","2009-11-04","en"
"+prMsD9vz8AfeGUouzMG0kS8KjxEkh1NsYYiatcHnoc=","+prMsD9vz8AfeGUouzMG0kS8KjxEkh1NsYYiatcHnoc=","+prMsD9vz8AfeGUouzMG0kS8KjxEkh1NsYYiatcHnoc=","","","","3430","711","2009-08-11","en"
"2689222861","Perfect Relationship","jthjiumfs","India","we DO NOT own content posted. Everything is submissions. Content will be immediately removed or credited by owners request. Enjoy!","","15990","16674","2014-07-29","zh-CN"
"QRcBY8D5EinWF+pp4Qx1UoK9Sqfs1qm0ZaFjrOiEwd0=","QRcBY8D5EinWF+pp4Qx1UoK9Sqfs1qm0ZaFjrOiEwd0=","QRcBY8D5EinWF+pp4Qx1UoK9Sqfs1qm0ZaFjrOiEwd0=","Columbus, OH","coupon clipping,money saving, low key hustling super mom. But don’t get it twisted...I live in the suburbs, but I’m from the hood.","","29","65","2015-07-03","en"
"3007945062","FOLLOW TRICK","FOLLOWTRICK_18K","","","","82059","13200","2015-02-02","en"
"uEpG9rvKnPvdNbWJFCMxMMJED0ZhaROZVxwL9yYG4wI=","uEpG9rvKnPvdNbWJFCMxMMJED0ZhaROZVxwL9yYG4wI=","uEpG9rvKnPvdNbWJFCMxMMJED0ZhaROZVxwL9yYG4wI=","","B5EEB374944A35F8EB7C8AD3","","4410","1513","2009-06-12","en"
"505231278","Edwin White","gijinzenchiro","","if you’re ready come and get it sel","","10378","0","2012-02-27","zh-cn"
"96940297","•","viralhustler","","","","23602","2536","2009-12-15","en"
"4FPZlgWoWQ5TbJrTKbemUkVCWjyOj1cRuI0syvxUNtI=","4FPZlgWoWQ5TbJrTKbemUkVCWjyOj1cRuI0syvxUNtI=","4FPZlgWoWQ5TbJrTKbemUkVCWjyOj1cRuI0syvxUNtI=","New York","","","4881","848","2009-05-10","en"
"4808109434","秒速五厘米","Ygsftwof","","摄影，壁纸","","12697","4603","2016-01-24","zh-cn"
"87084247","DUQUESne","natasOOOGimp","Sierra Leone","🤮🤢🤮🤢🤮
TOMMY's GUNS&HAMMER SHOP","","9694","2253","2009-11-03","en"
"122368257","10.1k","sold1011x4","","","","10682","41","2010-03-12","en"
"1448948527","咖啡猫","matarushimachis","Hamilton, Bermuda","if this is what you want then fire at will","","31139","826","2013-05-22","zh-cn"
"1114645321072640000","Valerie","Valerie49414067","","","","0","0","2019-04-06","en"
"156821968","✨","akafj2","","けみおくんの大ファン。Friday's teamXキャプテンです🍀23歳／A型／3期 推しサイリウムカラー →ブルー・イエロー 皆さんに知ってもらいたい事を発信します🌈裏垢もみてね❤️","https://t.co/NYCF3oSknw","14615","47","2010-06-18","ja"
"EKkPwfFqpspfXbRz0xxGUE5pfMHdIkSAO2NrHLP1W3M=","EKkPwfFqpspfXbRz0xxGUE5pfMHdIkSAO2NrHLP1W3M=","EKkPwfFqpspfXbRz0xxGUE5pfMHdIkSAO2NrHLP1W3M=","","","","4154","1263","2009-04-16","en"
"190058371","Max","beerxcutes","Houston, Texas","✈️🇺🇸🇦🇺🇫🇷🇪🇺🇯🇵🇧🇷🎌🍻","","11349","4234","2010-09-12","en"
"16049891","Tiffance","Tiffance_SF","San Francisco, CA","CE4B4B479BA12A407C62C2BC","https://t.co/h206hulCag","50413","44084","2008-08-30","en"
"32701028","Gone Wild (+18)","gonewildvids","Hookup Tonight ↪","Find girls to fuck near you https://t.co/dRXGswymZf *18+ only*

DM if you want your content deleted for Copyright purposes","https://t.co/9WpbCqbW8W","42791","1133","2009-04-18","en"
"YOdouxkf+IUsxvZzWFwNolUSv6mKLPg5DIkUIAASTpI=","YOdouxkf+IUsxvZzWFwNolUSv6mKLPg5DIkUIAASTpI=","YOdouxkf+IUsxvZzWFwNolUSv6mKLPg5DIkUIAASTpI=","Bochum","Runner, Feminist. I love Ariana Grande","","507","620","2012-05-20","en"
"HodtnzNBGyLpUHHYsTB5VdGCY11H+jf0nbkA3We6uM=","HodtnzNBGyLpUHHYsTB5VdGCY11H+jf0nbkA3We6uM=","HodtnzNBGyLpUHHYsTB5VdGCY11H+jf0nbkA3We6uM=","Faroe Islands","B5EEB374944A35F8EB7C8AD3","","4090","1513","2010-10-13","en"
"3288549912","puppet puppies","puppetpuppies","New Delhi, India","","","12268","10757","2015-07-23","en"
"91256935","Blog Install","bloginstallcom","Georgia, USA","Learn more about blogging, website & web technologies, WordPress, SEO and everything related.","https://t.co/yzPEKhXlGy","8107","4631","2009-11-20","en"
"2384663480","playlistroyalty","playlistroyalty","New York, NY","playlist","https://t.co/mnLPhv2RZK","12781","42","2014-03-12","en"
"21128521","estebanwinterx","estebanwinterx","LA","estebanwinterx","","14142","11469","2009-02-17","en"
"64WGKmsGcyO9nc6U0tTKqPttqzAhgnqjNtkq8M8xJ8M=","64WGKmsGcyO9nc6U0tTKqPttqzAhgnqjNtkq8M8xJ8M=","64WGKmsGcyO9nc6U0tTKqPttqzAhgnqjNtkq8M8xJ8M=","Philadelphia","If I could sum up my life in one line I would die of embarassment. Big Ariana fan","https://t.co/7IDoW8Ah9W","43","233","2012-05-29","en"
"363629495","jedidiahxwife","jedidiahxwife","United States","jedidiahxwife","","11496","11555","2011-08-28","en"
"407898285","Luka","TechPoliticist","London, England","#Geopolitics, #Privacy, #Socioeconomic, #Security, #Risk of #EmergingTech  such as #5G, #IoT, #IIoT, #AI | Co-author @LeadershipAI","https://t.co/zNzDBv2oMZ","9157","6680","2011-11-08","en"
"22178858","My WP Tips","mywptipscom","New York, USA","Learn WordPress, web design, SEO and digital marketing by reading what our own authors as well as guest contributors have to say.","https://t.co/MSMg0kCmWa","11582","14190","2009-02-27","en"
"478305266",".","gucci_men_men_","","","","15589","10","2012-01-30","ja"
"179063012","章鱼丸子@","hansonmunrox","Pennsylvania, USA","hansonmunrox","","15666","11634","2010-08-16","zh-cn"
"286569607","ろーる / iLoL.","iLoLFN","","Fortnite Player","https://t.co/0apjuHw85K","8388","2343","2011-04-23","ja"
"2547127369","Joe","ciuytae","","$ LETS HAVE SOME FUN $","","13196","108","2014-06-05","en"
"602615139","♡","quotesforalI","","CE4B4B479BA12A407C62C2BC","","5126","140","2012-06-08","en"
